,Date,Time,Vis,VisScore,Home,Home_Score,Box Score,OT,Attendence,Venue,Notes
1235,"Sun, Apr 19, 2015",5:30p,Brooklyn Nets,92,Atlanta Hawks,99,Box Score,,"18,440",Philips Arena,
1236,"Sun, Apr 19, 2015",8:00p,Portland Trail Blazers,86,Memphis Grizzlies,100,Box Score,,"18,119",FedEx Forum,
1237,"Sun, Apr 19, 2015",10:30p,San Antonio Spurs,92,Los Angeles Clippers,107,Box Score,,"19,309",STAPLES Center,
1238,"Mon, Apr 20, 2015",8:00p,Milwaukee Bucks,82,Chicago Bulls,91,Box Score,,"21,661",United Center,
1239,"Mon, Apr 20, 2015",10:30p,New Orleans Pelicans,87,Golden State Warriors,97,Box Score,,"19,596",Oracle Arena,
1240,"Tue, Apr 21, 2015",7:00p,Boston Celtics,91,Cleveland Cavaliers,99,Box Score,,"20,562",Quicken Loans Arena,
1241,"Tue, Apr 21, 2015",8:00p,Washington Wizards,117,Toronto Raptors,106,Box Score,,"19,800",Air Canada Centre,
1242,"Tue, Apr 21, 2015",9:30p,Dallas Mavericks,99,Houston Rockets,111,Box Score,,"18,243",Toyota Center,
1243,"Wed, Apr 22, 2015",7:00p,Brooklyn Nets,91,Atlanta Hawks,96,Box Score,,"18,207",Philips Arena,
1244,"Wed, Apr 22, 2015",8:00p,Portland Trail Blazers,82,Memphis Grizzlies,97,Box Score,,"18,119",FedEx Forum,
1245,"Wed, Apr 22, 2015",10:30p,San Antonio Spurs,111,Los Angeles Clippers,107,Box Score,OT,"19,482",STAPLES Center,
1246,"Thu, Apr 23, 2015",7:00p,Cleveland Cavaliers,103,Boston Celtics,95,Box Score,,"18,624",TD Garden,
1247,"Thu, Apr 23, 2015",8:00p,Chicago Bulls,113,Milwaukee Bucks,106,Box Score,2OT,"18,717",BMO Harris Bradley Center,
1248,"Thu, Apr 23, 2015",9:30p,Golden State Warriors,123,New Orleans Pelicans,119,Box Score,OT,"18,444",Smoothie King Center,
1249,"Fri, Apr 24, 2015",7:00p,Houston Rockets,130,Dallas Mavericks,128,Box Score,,"20,651",American Airlines Center,
1250,"Fri, Apr 24, 2015",8:00p,Toronto Raptors,99,Washington Wizards,106,Box Score,,"20,356",Verizon Center,
1251,"Fri, Apr 24, 2015",9:30p,Los Angeles Clippers,73,San Antonio Spurs,100,Box Score,,"18,581",AT&T Center,
1252,"Sat, Apr 25, 2015",3:00p,Atlanta Hawks,83,Brooklyn Nets,91,Box Score,,"17,732",Barclays Center,
1253,"Sat, Apr 25, 2015",5:30p,Chicago Bulls,90,Milwaukee Bucks,92,Box Score,,"18,717",BMO Harris Bradley Center,
1254,"Sat, Apr 25, 2015",8:00p,Golden State Warriors,109,New Orleans Pelicans,98,Box Score,,"18,443",Smoothie King Center,
1255,"Sat, Apr 25, 2015",10:30p,Memphis Grizzlies,115,Portland Trail Blazers,109,Box Score,,"19,945",Moda Center,
1256,"Sun, Apr 26, 2015",1:00p,Cleveland Cavaliers,101,Boston Celtics,93,Box Score,,"18,624",TD Garden,
1257,"Sun, Apr 26, 2015",3:30p,Los Angeles Clippers,114,San Antonio Spurs,105,Box Score,,"18,581",AT&T Center,
1258,"Sun, Apr 26, 2015",6:30p,Toronto Raptors,94,Washington Wizards,125,Box Score,,"20,356",Verizon Center,
1259,"Sun, Apr 26, 2015",9:00p,Houston Rockets,109,Dallas Mavericks,121,Box Score,,"20,589",American Airlines Center,
1260,"Mon, Apr 27, 2015",7:00p,Atlanta Hawks,115,Brooklyn Nets,120,Box Score,OT,"17,732",Barclays Center,
1261,"Mon, Apr 27, 2015",8:00p,Milwaukee Bucks,94,Chicago Bulls,88,Box Score,,"21,814",United Center,
1262,"Mon, Apr 27, 2015",10:30p,Memphis Grizzlies,92,Portland Trail Blazers,99,Box Score,,"19,541",Moda Center,
1263,"Tue, Apr 28, 2015",8:00p,Dallas Mavericks,94,Houston Rockets,103,Box Score,,"18,231",Toyota Center,
1264,"Tue, Apr 28, 2015",10:30p,San Antonio Spurs,111,Los Angeles Clippers,107,Box Score,,"19,571",STAPLES Center,
1265,"Wed, Apr 29, 2015",7:00p,Brooklyn Nets,97,Atlanta Hawks,107,Box Score,,"18,105",Philips Arena,
1266,"Wed, Apr 29, 2015",9:30p,Portland Trail Blazers,93,Memphis Grizzlies,99,Box Score,,"18,119",FedEx Forum,
